Date,Weight (lb),Fat mass (lb),Lean mass (lb),Comments
2011-10-05 6:30 AM,209.7,50.8,158.9,
2011-10-04 6:42 AM,211.8,50.8,161,
2011-10-03 6:33 AM,212.2,51.9,160.3,
2011-10-02 9:08 AM,211.3,52.9,158.4,
2011-10-01 8:47 AM,213.3,54,159.3,
2011-09-30 6:40 AM,212.3,52.5,159.8,
2011-09-29 6:51 AM,213.4,53.3,160.1,
2011-09-28 6:52 AM,213.6,52.4,161.2,
2011-09-27 6:47 AM,216.4,50.2,166.2,
2011-09-27 5:40 AM,215.6,48.6,167,
2011-09-26 6:16 AM,216.7,50.5,166.2,
2011-09-24 8:54 AM,215.9,49.9,166,
2011-09-22 6:53 AM,216.1,50,166.1,
2011-09-21 6:46 AM,215.5,49.6,165.9,
2011-09-20 6:44 AM,217,57.3,159.7,
2011-09-19 6:36 AM,219,53.3,165.7,
2011-09-16 6:35 AM,219.7,52.7,167,
2011-09-14 6:52 AM,219.5,52.6,166.9,
2011-09-13 6:37 AM,219.1,52.3,166.8,
2011-09-09 5:48 AM,218.4,51.7,166.7,
2011-09-08 6:49 AM,217.2,55.2,162,
2011-09-07 6:42 AM,218.9,52.1,166.8,
2011-09-02 5:58 AM,217.5,51.1,166.4,
2011-09-01 6:43 AM,216.8,50.6,166.2,
2011-08-31 6:48 AM,217.4,51,166.4,
2011-08-30 6:37 AM,218.9,51,167.9,
2011-08-29 6:47 AM,218.5,51.8,166.7,
2011-08-25 7:04 AM,216.4,50.2,166.2,
2011-08-24 6:46 AM,218,51.5,166.5,
2011-08-10 6:39 AM,216.4,50.2,166.2,
2011-08-09 6:24 AM,215.2,49.4,165.8,
2011-08-08 6:28 AM,217.5,50,167.5,
2011-08-05 5:52 AM,215.2,49.3,165.9,
2011-08-04 7:07 AM,213.3,48,165.3,
2011-08-03 7:05 AM,211.5,51.8,159.7,
2011-08-02 6:59 AM,216.8,50.5,166.3,
2011-08-01 6:54 AM,215.3,54.8,160.5,
2011-07-29 6:44 AM,217.3,50.8,166.5,
2011-07-28 6:54 AM,219.1,51.1,168,
2011-07-27 6:28 AM,217.9,50.3,167.6,
2011-07-21 7:00 AM,216.6,50.4,166.2,
2011-07-20 6:47 AM,219.4,52.4,167,
2011-07-19 6:45 AM,217,50.7,166.3,
2011-07-18 6:56 AM,217.3,50.9,166.4,
2011-07-15 6:53 AM,216.2,50.1,166.1,
2011-07-14 6:28 AM,215.7,54.1,161.6,
2011-07-13 7:12 AM,216.9,50.6,166.3,
2011-07-12 6:26 AM,217.2,50.7,166.5,
2011-07-07 6:46 AM,216.5,49.2,167.3,
2011-07-06 6:45 AM,219.1,51.1,168,
2011-07-01 6:42 AM,216.5,50.3,166.2,
2011-06-30 6:30 AM,212.3,52.3,160,
2011-06-29 6:30 AM,215.6,49.6,166,
2011-06-24 6:11 AM,216.3,50.1,166.2,
2011-06-21 6:44 AM,217.9,50.2,167.7,
2011-06-20 6:38 AM,217.9,51.4,166.5,
2011-06-16 6:04 AM,215.3,54.8,160.5,
2011-06-15 6:45 AM,215.4,48.3,167.1,
2011-06-14 6:41 AM,216.4,49.1,167.3,
2011-06-13 6:44 AM,218.5,50.6,167.9,
2011-06-10 6:39 AM,213.3,47.9,165.4,
2011-06-09 6:53 AM,214.4,48.7,165.7,
2011-06-08 6:41 AM,215.1,48.2,166.9,
2011-06-07 6:46 AM,217,49.6,167.4,
2011-06-07 6:45 AM,216.9,49.5,167.4,
2011-06-06 6:52 AM,218.8,52,166.8,
2011-06-03 6:04 AM,216.5,50.3,166.2,
2011-06-02 6:45 AM,218.4,49.4,169,
2011-06-01 6:48 AM,217.8,50.2,167.6,
2011-05-31 6:56 AM,220.5,50.9,169.6,
2011-05-27 6:17 AM,213.8,48.3,165.5,
2011-05-26 6:39 AM,216.6,55.8,160.8,
2011-05-25 7:01 AM,217.8,50.1,167.7,
2011-05-24 6:34 AM,215.8,49.7,166.1,
2011-05-23 6:42 AM,219.1,52.2,166.9,
2011-05-13 6:47 AM,216.7,49.3,167.4,
2011-04-26 7:02 AM,212.9,52.7,160.2,
2011-04-19 6:50 AM,217.2,49.6,167.6,
2011-04-14 6:48 AM,214,47.3,166.7,
2011-04-01 5:50 AM,213.6,47,166.6,
2011-03-29 6:42 AM,214.6,48.8,165.8,
2011-03-25 6:27 AM,210.3,50.8,159.5,
2011-03-24 6:34 AM,212.3,47.2,165.1,
2011-03-23 6:35 AM,210.4,45.8,164.6,
2011-03-22 6:43 AM,211,46.1,164.9,
2011-03-21 6:25 AM,211.3,50.5,160.8,
2011-03-19 9:59 AM,209.7,45.2,164.5,
2011-03-17 6:36 AM,211,46.2,164.8,
2011-03-16 6:23 AM,213,47.6,165.4,
2011-03-15 6:34 AM,211.4,50.6,160.8,
2011-03-11 5:56 AM,209.9,49.4,160.5,
2011-03-11 5:56 AM,209.9,50.4,159.5,
2011-03-10 6:23 AM,209.7,45.3,164.4,
2011-03-09 6:20 AM,212,45.9,166.1,
2011-03-09 6:11 AM,212.1,47,165.1,
2011-03-08 6:25 AM,211.1,46.3,164.8,
2011-03-07 6:24 AM,210.9,51.2,159.7,
2011-03-06 9:11 AM,210.2,49.7,160.5,
2011-03-05 6:40 AM,210.2,44.6,165.6,
2011-03-04 6:02 AM,210.5,49.9,160.6,
2011-03-03 6:14 AM,207.9,44,163.9,
2011-03-02 6:20 AM,211.9,45.8,166.1,
2011-03-01 6:21 AM,211.9,45.8,166.1,
2011-02-28 6:28 AM,210.4,44.8,165.6,
2011-02-28 6:28 AM,210.3,44.7,165.6,
2011-02-26 8:03 AM,208.8,48.5,160.3,
2011-02-25 6:19 AM,209.3,50,159.3,
2011-02-25 6:18 AM,209.4,50,159.4,
2011-02-23 6:25 AM,211.9,46.9,165,
2011-02-22 6:06 PM,222.6,52.3,170.3,
2011-02-22 5:50 PM,217.8,43.3,174.5,"First day.
"
2011-02-22 5:48 PM,210.1,,,
