6/18/2014,300,-53500,2200
6/19/2014,300,-53200,1500
6/20/2014,300,-52900,1500
6/21/2014,300,-52600,1500
6/22/2014,300,-52300,1500
6/23/2014,300,-52000,1500
6/24/2014,300,-51700,1500
6/25/2014,300,-51400,1500
6/26/2014,300,-51100,1500
6/27/2014,300,-50800,1500
6/28/2014,300,-50500,1500
6/29/2014,300,-50200,1500
6/30/2014,300,-49900,1500
7/1/2014,300,-49600,1500
7/2/2014,300,-49300,1500
7/3/2014,300,-49000,1500
7/4/2014,300,-48700,1500
7/5/2014,300,-48400,1500
7/6/2014,300,-48100,1500
7/7/2014,300,-47800,1500
7/8/2014,300,-47500,1500
7/9/2014,300,-47200,1500
7/10/2014,300,-46900,1500
7/11/2014,300,-46600,1500
7/12/2014,300,-46300,1500
7/13/2014,300,-46000,1500
7/14/2014,300,-45700,1500
7/15/2014,300,-45400,1500
7/16/2014,300,-45100,1500
7/17/2014,300,-44800,1500
7/18/2014,300,-44500,1500
7/19/2014,300,-44200,1500
7/20/2014,-1500,-45700,-300
7/21/2014,-500,-46200,-1100
7/22/2014,100,-46100,-1300
7/23/2014,0,-46100,-1600
7/24/2014,500,-45600,-1400
7/25/2014,-300,-45900,-200
7/26/2014,-900,-46800,-600
7/27/2014,-200,-47000,-900
7/28/2014,0,-47000,-900
7/29/2014,-500,-47500,-1900
7/30/2014,-500,-48000,-2100
7/31/2014,-400,-48400,-1600
8/1/2014,500,-47900,-900
8/2/2014,500,-47400,-400
8/3/2014,500,-46900,600
8/4/2014,-700,-47600,400
8/5/2014,-1000,-48600,-200
8/6/2014,-1300,-49900,-2000
8/7/2014,-1000,-50900,-3500
8/8/2014,0,-50900,-4000
8/9/2014,1000,-49900,-2300
8/10/2014,0,-49900,-1300
8/11/2014,-800,-50700,-800
8/12/2014,-300,-51000,-100
8/13/2014,300,-50700,200
8/14/2014,300,-50400,-500
8/15/2014,300,-50100,-200
8/16/2014,300,-49800,900
8/17/2014,300,-49500,1500
8/18/2014,300,-49200,1500
8/19/2014,300,-48900,1500
8/20/2014,300,-48600,1500
8/21/2014,300,-48300,1500
8/22/2014,300,-48000,1500
8/23/2014,300,-47700,1500
8/24/2014,300,-47400,1500
8/25/2014,300,-47100,1500
8/26/2014,300,-46800,1500
8/27/2014,300,-46500,1500
8/28/2014,300,-46200,1500
8/29/2014,300,-45900,1500
8/30/2014,300,-45600,1500
8/31/2014,300,-45300,1500
9/1/2014,300,-45000,1500
9/2/2014,300,-44700,1500
9/3/2014,300,-44400,1500
9/4/2014,300,-44100,1500
9/5/2014,300,-43800,1500
9/6/2014,300,-43500,1500
9/7/2014,300,-43200,1500
9/8/2014,300,-42900,1500
9/9/2014,300,-42600,1500
9/10/2014,300,-42300,1500
